,Date,Open,High,Low,Close,Volume
0,2020-10-11 00:00:00,11293.22000000,11321.05000000,11270.70000000,11300.69000000,1273.87296300
1,2020-10-11 01:00:00,11300.70000000,11395.80000000,11298.07000000,11365.34000000,1613.47217300
2,2020-10-11 02:00:00,11365.18000000,11373.86000000,11345.82000000,11352.84000000,580.74678100
3,2020-10-11 03:00:00,11352.84000000,11352.84000000,11307.71000000,11332.00000000,730.86349000
4,2020-10-11 04:00:00,11332.01000000,11341.11000000,11301.00000000,11322.31000000,693.25207700
5,2020-10-11 05:00:00,11322.23000000,11343.30000000,11303.77000000,11337.94000000,979.83587100
6,2020-10-11 06:00:00,11337.95000000,11373.97000000,11335.72000000,11359.25000000,821.71157900
7,2020-10-11 07:00:00,11359.00000000,11369.51000000,11342.23000000,11350.01000000,800.96969400
8,2020-10-11 08:00:00,11350.01000000,11367.75000000,11337.89000000,11346.10000000,1137.04901700
9,2020-10-11 09:00:00,11346.10000000,11355.92000000,11327.05000000,11354.05000000,1026.07995000
10,2020-10-11 10:00:00,11354.05000000,11407.27000000,11340.19000000,11397.02000000,1773.73393400
11,2020-10-11 11:00:00,11397.02000000,11410.00000000,11350.36000000,11372.50000000,1363.84546100
12,2020-10-11 12:00:00,11372.51000000,11382.94000000,11350.00000000,11355.74000000,987.81250800
13,2020-10-11 13:00:00,11355.73000000,11382.20000000,11336.17000000,11368.42000000,1267.64394900
14,2020-10-11 14:00:00,11368.41000000,11445.00000000,11345.00000000,11378.72000000,1777.59634900
15,2020-10-11 15:00:00,11378.72000000,11440.86000000,11378.72000000,11405.47000000,1728.12432300
16,2020-10-11 16:00:00,11405.46000000,11426.98000000,11362.00000000,11391.78000000,1716.34978600
17,2020-10-11 17:00:00,11391.78000000,11430.00000000,11391.78000000,11424.27000000,876.27332100
18,2020-10-11 18:00:00,11424.26000000,11427.99000000,11382.24000000,11408.86000000,943.39340500
19,2020-10-11 19:00:00,11408.87000000,11415.00000000,11315.01000000,11334.02000000,1824.30443200
20,2020-10-11 20:00:00,11334.03000000,11360.00000000,11326.07000000,11326.28000000,1056.22608300
21,2020-10-11 21:00:00,11326.27000000,11344.12000000,11221.00000000,11328.22000000,1881.68203000
22,2020-10-11 22:00:00,11328.22000000,11358.87000000,11298.73000000,11353.86000000,1019.38609500
23,2020-10-11 23:00:00,11353.85000000,11395.32000000,11343.87000000,11369.02000000,1169.62606800
24,2020-10-12 00:00:00,11369.02000000,11380.20000000,11345.56000000,11378.40000000,986.74368000
25,2020-10-12 01:00:00,11378.50000000,11403.10000000,11353.05000000,11394.63000000,1326.49423500
26,2020-10-12 02:00:00,11394.63000000,11410.00000000,11369.92000000,11400.95000000,1018.72686200
27,2020-10-12 03:00:00,11400.96000000,11410.30000000,11383.71000000,11385.00000000,1312.91536900
28,2020-10-12 04:00:00,11385.01000000,11396.01000000,11365.00000000,11384.39000000,953.20338200
29,2020-10-12 05:00:00,11384.39000000,11413.90000000,11378.25000000,11399.68000000,1394.17384200
30,2020-10-12 06:00:00,11399.67000000,11402.78000000,11337.15000000,11342.24000000,1681.93353900
31,2020-10-12 07:00:00,11342.24000000,11393.83000000,11330.40000000,11379.34000000,1945.42316900
32,2020-10-12 08:00:00,11379.34000000,11393.83000000,11357.42000000,11358.80000000,1329.14792900
33,2020-10-12 09:00:00,11358.80000000,11374.11000000,11307.66000000,11358.56000000,1628.09225600
34,2020-10-12 10:00:00,11358.56000000,11371.73000000,11172.00000000,11264.77000000,4259.25070100
35,2020-10-12 11:00:00,11264.79000000,11277.23000000,11239.46000000,11244.41000000,2508.39240300
36,2020-10-12 12:00:00,11244.41000000,11292.00000000,11236.13000000,11290.88000000,1898.61747700
37,2020-10-12 13:00:00,11290.87000000,11528.87000000,11276.52000000,11489.08000000,6527.74103400
38,2020-10-12 14:00:00,11489.08000000,11498.42000000,11444.78000000,11468.86000000,2820.54645600
39,2020-10-12 15:00:00,11468.87000000,11590.00000000,11468.86000000,11549.38000000,3964.00577000
40,2020-10-12 16:00:00,11549.39000000,11579.64000000,11527.65000000,11551.38000000,2934.89664400
41,2020-10-12 17:00:00,11551.37000000,11566.89000000,11526.89000000,11556.29000000,1649.35929700
42,2020-10-12 18:00:00,11556.29000000,11566.36000000,11541.22000000,11548.69000000,1518.72638300
43,2020-10-12 19:00:00,11548.60000000,11575.00000000,11539.89000000,11546.93000000,1471.09971800
44,2020-10-12 20:00:00,11546.93000000,11575.07000000,11532.51000000,11559.69000000,1233.52791100
45,2020-10-12 21:00:00,11559.69000000,11720.01000000,11555.02000000,11684.16000000,3060.01010100
46,2020-10-12 22:00:00,11684.16000000,11700.00000000,11631.17000000,11658.06000000,1966.26955600
47,2020-10-12 23:00:00,11658.06000000,11659.31000000,11477.00000000,11528.25000000,3435.98599600
48,2020-10-13 00:00:00,11528.24000000,11544.87000000,11431.00000000,11493.35000000,2318.36741200
49,2020-10-13 01:00:00,11493.35000000,11512.02000000,11451.66000000,11502.70000000,1441.24144400
50,2020-10-13 02:00:00,11502.70000000,11507.79000000,11460.41000000,11487.80000000,1483.92076100
51,2020-10-13 03:00:00,11487.64000000,11487.64000000,11413.00000000,11458.24000000,1897.16008900
52,2020-10-13 04:00:00,11458.24000000,11486.37000000,11447.84000000,11481.52000000,998.92385000
53,2020-10-13 05:00:00,11481.53000000,11520.00000000,11478.11000000,11507.82000000,1141.31653000
54,2020-10-13 06:00:00,11507.82000000,11509.48000000,11460.98000000,11479.57000000,1212.45213300
55,2020-10-13 07:00:00,11479.56000000,11479.56000000,11426.49000000,11452.00000000,1586.51948500
56,2020-10-13 08:00:00,11452.21000000,11489.18000000,11442.85000000,11488.42000000,1476.82890700
57,2020-10-13 09:00:00,11488.44000000,11492.29000000,11462.03000000,11468.31000000,1239.20045800
58,2020-10-13 10:00:00,11468.31000000,11557.00000000,11370.55000000,11516.89000000,3516.23432300
59,2020-10-13 11:00:00,11516.88000000,11526.13000000,11463.83000000,11486.36000000,1820.74303700
60,2020-10-13 12:00:00,11486.37000000,11507.20000000,11425.19000000,11447.96000000,1891.61128000
61,2020-10-13 13:00:00,11447.97000000,11447.97000000,11321.39000000,11349.69000000,4199.63826500
62,2020-10-13 14:00:00,11349.70000000,11392.71000000,11300.00000000,11390.25000000,3288.09568200
63,2020-10-13 15:00:00,11390.25000000,11421.44000000,11371.33000000,11385.15000000,1815.23837600
64,2020-10-13 16:00:00,11385.15000000,11400.26000000,11340.78000000,11394.63000000,2169.40495900
65,2020-10-13 17:00:00,11394.71000000,11401.39000000,11349.79000000,11354.30000000,1369.35472900
66,2020-10-13 18:00:00,11354.30000000,11399.34000000,11343.25000000,11378.13000000,1866.40528000
67,2020-10-13 19:00:00,11378.14000000,11435.26000000,11367.49000000,11387.83000000,1576.37759500
68,2020-10-13 20:00:00,11387.83000000,11429.23000000,11386.26000000,11425.01000000,1153.99291800
69,2020-10-13 21:00:00,11425.01000000,11460.16000000,11417.53000000,11446.65000000,1156.06105700
70,2020-10-13 22:00:00,11446.58000000,11455.00000000,11415.18000000,11436.02000000,850.96584800
71,2020-10-13 23:00:00,11436.02000000,11450.00000000,11408.00000000,11420.56000000,735.22929100
72,2020-10-14 00:00:00,11420.57000000,11486.96000000,11408.00000000,11475.52000000,1164.83729200
73,2020-10-14 01:00:00,11475.53000000,11484.00000000,11435.25000000,11447.70000000,866.18108000
74,2020-10-14 02:00:00,11447.70000000,11449.37000000,11416.87000000,11422.64000000,984.96210800
75,2020-10-14 03:00:00,11422.70000000,11449.00000000,11390.00000000,11390.00000000,1110.54263900
76,2020-10-14 04:00:00,11390.00000000,11416.20000000,11361.00000000,11394.65000000,1657.18319500
77,2020-10-14 05:00:00,11394.67000000,11415.18000000,11376.82000000,11411.31000000,1238.05081800
78,2020-10-14 06:00:00,11411.31000000,11422.99000000,11386.47000000,11421.33000000,1404.43186900
79,2020-10-14 07:00:00,11421.34000000,11427.62000000,11382.70000000,11415.04000000,1193.00722700
80,2020-10-14 08:00:00,11415.03000000,11446.05000000,11412.80000000,11436.72000000,1611.68306000
81,2020-10-14 09:00:00,11436.73000000,11448.00000000,11396.77000000,11417.40000000,1266.47075500
82,2020-10-14 10:00:00,11417.39000000,11426.76000000,11357.00000000,11374.08000000,2046.93003500
83,2020-10-14 11:00:00,11374.09000000,11413.19000000,11360.71000000,11362.92000000,1351.48926800
84,2020-10-14 12:00:00,11362.93000000,11406.17000000,11350.92000000,11406.17000000,1679.30703000
